target_prediction_date,Google_predict
2020-11-29,3377.0966644287
2020-11-30,2382.3464012146987
2020-12-01,2406.6778793336
2020-12-02,2534.248775482
2020-12-03,2584.9850578307987
2020-12-04,2633.6658554077003
2020-12-05,2663.872444153201
2020-12-06,2903.4247512815004
2020-12-07,2709.0924987796
2020-12-08,2743.133281707701
2020-12-09,2843.4108543392986
2020-12-10,2871.532867431501
2020-12-11,2965.6666336062995
2020-12-12,3027.8408050532994
2020-12-13,3299.1991271974002
2020-12-14,3098.590110778899
2020-12-15,3058.5975952150993
2020-12-16,3238.661834716399
2020-12-17,3286.9969863893994
2020-12-18,3407.3373413085005
2020-12-19,3507.3136825562988
2020-12-20,3840.8145599366
2020-12-21,3634.162254332901
2020-12-22,3699.6335906986988
2020-12-23,3890.692413330001
2020-12-24,4030.2348861693986
2020-12-25,4161.4191436767
2020-12-26,4317.360496521001
