日付,PCR 検査陽性者数(単日)
2020/11/29,2041
2020/11/30,1429
2020/12/1,2019
2020/12/2,2419
2020/12/3,2507
2020/12/4,2425
2020/12/5,2497
2020/12/6,1999
2020/12/7,1502
2020/12/8,2148
2020/12/9,2802
2020/12/10,2948
2020/12/11,2781
2020/12/12,3012
2020/12/13,2373
2020/12/14,1662
2020/12/15,2402
2020/12/16,2987
2020/12/17,3208
2020/12/18,2833
2020/12/19,2972
2020/12/20,2391
2020/12/21,1776
2020/12/22,2665
2020/12/23,3258
2020/12/24,3714
2020/12/25,3813
2020/12/26,3694
